quiz_id,id,type,stem,options,answer,explanation
民法真金题1-100,1,single_choice,（2019年法考回忆版）甲、乙婚后育有一女丙。丙3岁时，甲、乙协议离婚，甲、乙在离婚协议中定：“离婚后丙由乙抚养。为保护丙的利益，若乙再婚，再婚后乙不得生育子女。”该约定违背了下列哪一民法原则?,A. 自愿原则|B. 公平原则|C. 诚实信用原则|D. 公序良俗原则,D,"【考点】民法的基本原则
①自愿原则强调当事人从事民事活动时出自内心意愿。本题中，甲、乙之间
的约定系双方并未违反双方的内心意愿，反而是体现了双方的内心意愿的。因此，
该约定不违反自愿原则。故A选项不当选。
②公平原则强调当事人之间分配权利义务时应当符合公平的要求。本案中，
虽限制乙不得生育，但是也将孩子丙交由乙抚养，其权利义务的分配趋于公平。
因此，该约定不违反公平原则。故B选项不当选。
③诚实信用原则强调当事人从事民事活动时应当讲实话、守信用。本案中，
当事人之间并不存在欺骗，也不存在违反约定的行为。因此，该约定不违反诚实
信用原则。故C选项不当选。
④公序良俗原则强调当事人的行为不能违反公共秩序、善良风俗。本案中，
甲、乙通过约定限制了乙的生育自由，贬损人格尊严，该约定违反了善良风俗。
因此，该约定违反了公序良俗原则。故D选项当选。
综上，本题的正确选项为D选项。"
民法真金题1-100,2,single_choice,（2017年司考真题）甲、乙二人同村，宅基地毗邻。甲的宅基地倚山、地势较低，乙的宅基地在上将其环绕。乙因琐事与甲多次争吵而郁闷难解，便沿二人宅基地的边界线靠己方一侧，建起高5米围墙，使甲在自家院内却有身处监牢之感。乙的行为违背民法的下列哪一基本原则?,A. 自愿原则|B. 公平原则|C. 平等原则|D. 诚信原则,D,"【考点】民法的基本原则
①自愿原则强调当事人从事民事活动时出自内心意愿。甲与乙之间并未实施
法律行为，也就谈不上违反了何人的意愿。而乙实施修建建筑物的行为也是出自
其内心意愿。因此，乙的行为并未违反自愿原则。故A选项不当选。
②公平原则强调当事人之间分配权利义务时应当符合公平的要求。本案中，
乙与甲之间并未实施法律行为，也就谈不上不公平的问题。而乙修建围墙的行为，
是行使自己的权利，而这一权利是乙合法取得的宅基地使用权的体现，其反而体
现了公平。故B选项不当选。
③平等原则强调当事人的法律地位平等。本案中，并未体现乙的法律地位凌
驾于甲的法律地位之上。虽然双方的围墙高度不平等，但其法律地位仍然是平等
的。故C选项不当选。
④乙在自己的宅基地上修建围墙，属于其行使权利的表现。但是，《总则编
解释》第3条第2款规定“行为人以损害国家利益、社会公共利益、他人合法权
益为主要目的行使民事权利的，人民法院应当认定构成滥用民事权利。”本案中，
乙修建5米高的围墙，自己不能获得额外的利益(防盗的围墙要不了5米),而
给甲造成了极大的损害(通风、采光被遮挡)。这种损人不利己的行为，属于以
损害他人为目的行使权利，构成对民事权利的滥用。诚实信用原则的一项要求就
是禁止权利人滥用权利，因此，乙滥用权利的行为违反了诚实信用原则。故D
选项当选。
综上，本题的正确选项为D选项。
第二节 民事法律关系"
民法真金题1-100,3,single_choice,（2018年法考回忆版）甲、乙、丙、丁系大学室友。期末考试前，四人约定：“成绩出来后，得奖学金的人出钱请四人吃饭。”成绩公布后，甲和乙得一等奖学金，丙和丁未得任何奖学金。一日，四人按前述约定到“卡贝拉餐厅”吃饭，花费800元。餐毕，甲拒绝按约定支付餐费，乙见状也借故离开，没有按照约定支付餐费。四人就餐费支付发生争执。就这800元餐费应由谁及如何对“卡贝拉餐厅”承担，下列哪一表述正确的是?,A. 餐厅有权请求甲、乙各支付400元，但无权请求丙、丁支付餐费|B. 餐厅有权请求甲、乙、丙、丁中任何一人支付800元|C. 餐厅有权请求甲、乙、丙、丁各200元，丙、丁支付后有权按照约定向甲、乙追偿|D. 餐厅有权请求甲、乙、丙、丁各200元，丙、丁支付后无权按照约定向甲、乙追偿,D,"【考点】好意施惠；连带之债
①甲等四人约定得奖的人请吃饭，该约定并不追求法律上的效果，而是追求
感情的增进，其属于典型的好意施惠，不产生合同法律关系。因此，在法律上得
奖的甲与乙并无请客吃饭的义务，丙、丁所需支付的餐费也自然无权向甲、乙进
行追偿。故AC选项错误。
②甲、乙、丙、丁四人共同对餐厅负担债务，此属于多数人之债。此时，四
人可能承担按份责任也可能承担连带责任。但是，在法律上成立连带之债必须基
于法律的规定或者当事人的约定。本案中，并不存在法律规定或当事人约定的连
带之债，因此，甲等四人就餐费形成按份之债，餐厅只能向四人分别主张权利。
故B选项不当选，D选项当选。
综上，本题的正确选项为D选项。"
民法真金题1-100,4,single_choice,（2016年司考真题）根据法律规定，下列哪一种社会关系应由民法调整?,A. 甲请求税务机关退还其多缴的个人所得税|B. 乙手机丢失后发布寻物启事称：“拾得者送还手机，本人当面酬谢”|C. 丙对女友书面承诺：“如我在上海找到工作，则陪你去欧洲旅游”|D. 丁作为青年志愿者，定期去福利院做帮工,B,"【考点】民事法律关系；好意施惠
①民事法律关系仅发生在平等主体之间。甲与税务机关的关系中，
税务机关处于管理者的地位，甲处于被管理者的地位，二者的地位并不平等。因
此，该关系并非民事法律关系。故A选项不当选。
②寻物启事在法律上属于悬赏广告，在性质上属于对不特定人发出的要约，
而完成行为的人以其行为作出承诺，将在悬赏人与行为人之间产生悬赏广告之债。
作为债的关系，其受到民法所调整。故B选项当选。
③丙与女友之间旅游的约定并不追求法律效果，而是追求彼此感情的增加，
其属于好意施惠，在当事人之间不成立合同法律关系，不受民法所调整。故C
选项不当选。
④只有受民法规范调整的社会关系才属于民事法律关系。在福利院做帮工的
行为，并不受到民法规范的调整，因此其不属于民事法律关系。故D选项不当
选。
综上，本题的正确选项为B选项。"
民法真金题1-100,5,single_choice,（2013年司考真题）兹有四个事例：①张某驾车违章发生交通事故致搭车的李某残疾；②唐某参加王某组织的自助登山活动因雪崩死亡；③吴某与人打赌举重物因用力过猛致残；④何某心情不好邀好友郑某喝酒，郑某畅饮后驾车撞树致死。根据公平正义的法治理念和《民法典》有关规定，下列哪一观点可以成立?,A. ①张某与李某未形成民事法律关系合意，如让张某承担赔偿责任，是惩善扬恶，显属不当|B. ②唐某应自担风险，如让王某承担赔偿责任，有违公平|C. ③吴某有完整意思能力，其自担损失，是非清楚|D. ④何某虽有召集但未劝酒，无需承担责任，方能兼顾法理与情理,B,"【考点】好意施惠；无偿搭乘；过错侵权；不作为侵权
①李某免费搭乘张某的车，其属于典型的好意施惠，在二者之间不产生合同
关系。但是，好意施惠不排除侵权关系的成立。张某因其过错(违章)导致李某
遭受损失，成立过错侵权，李某有权要求张某承担侵权责任。故A选项不当选。
②唐某与王某共同参与攀登可能发生雪山这样的危险活动，此时，活动的参
与者彼此负有救助义务。原则上，一方遭受危险，其他参与人若没有履行救助义
务的，可以构成不作为侵权。但是，本案中唐某遭遇雪崩，其他参加者并无对抗
雪崩的救助能力，因此，其他参加者不成立不作为侵权，无须承担责任。故B
选项当选。(题外话：普通的驴友之间并无救助义务，但是如果参与的活动具有
高度危险性的时候，则相互之间负有救助义务。)
③吴某与他人打赌导致受伤，打赌者成立过错侵权，须承担侵权责任。打赌
者符合过错侵权的四个要件：(1)实施了打赌这一侵权行为。(2)造成了吴某
的损害。(3)行为与损害间存在因果关系。(4)打赌者存在主观过错。(与别
人打一个具有如此危险性的赌，打赌者没有达到一个一般理性人所应当达到的注
意标准，其至少存在过失)故C选项不当选。(题外话：有同学会认为，吴某是
自愿去举重物的，怎么能怪打赌者呢?是的，吴某自愿参与这类危险活动，其本
人存在过错，但并不能因此否认打赌者也存在过错。二者都有过错的情况下，可
以按照过错减轻打赌者的侵权责任)
④何某与郑某共同饮酒，郑某酒醉，基于先前共同饮酒的行为，何某负有照
顾义务。本题中，何某未履行照顾义务，其构成不作为侵权，须承担侵权责任。
故D选项不当选。(题外话：基于喝酒产生的侵权责任有两种类型：(1)极力
劝酒导致他人损害，成立作为方式的侵权。(2)在他人酒醉后未履行照顾义务，
成立不作为方式的侵权)
综上，本题的正确选项为B选项。"
民法真金题1-100,6,single_choice,（2010年司考真题）下列哪一情形下，乙的请求依法应得到支持?,A. 甲应允乙同看演出，但迟到半小时。乙要求甲赔偿损失|B. 甲听说某公司股票可能大涨，便告诉乙，乙信以为真大量购进，事后该支股票大跌。乙要求甲赔偿损失|C. 甲与其妻乙约定，如因甲出轨导致离婚，甲应补偿乙50万元，后二人果然因此离婚。乙要求甲依约赔偿|D. 甲对乙承诺，如乙比赛夺冠，乙出国旅游时甲将陪同，后乙果然夺冠，甲失约。乙要求甲承担赔偿责任,C,"【考点】好意施惠；纯粹经济损失；忠诚协议
①在A选项与D选项中，甲与乙之间的约定都是为了追求感情上的增进而
非法律效果，属于典型的好意施惠，在当事人之间不产生合同关系。因此，一方
违反了该约定的，无须承担违约责任。此外，看演出迟到、不一起去旅行也难以
被评价为侵权行为，因此，也不产生侵权责任。故A选项、D选项不当选。
②关于B选项。甲与乙之间不存在订立合同的过程，也没有合同，因此不可
能产生缔约过失责任与违约责任，需要分析的角度就只剩侵权责任了。按照过错
侵权的角度去套，(1)甲实施了侵权行为(告知乙股票将大涨)。(2)给乙造
成了损失。(3)存在因果关系。(4)甲主观上存在过错。(至少存在过失)看
上去符合侵权责任的四个构成要件，但是本案中乙的损失很特殊。甲的行为并未
造成乙的财产权遭受损害(乙买的股权并没有变少，还是那么多),而仅仅只是
遭受乙的金钱价值变少了，这种损失在民法上被称为纯粹经济损失。对于纯粹经
济损失原则上侵权责任不对此进行救济，除非行为人故意造成他人的纯粹经济损
失。本题中，甲并非故意造成乙的纯粹经济损失，因此甲无须承担侵权责任。故
B选项不当选。
③关于C选项。夫妻之间的忠诚协议在实践中争议很大，有的法院认为忠诚
协议有效，有的法院认为忠诚协议无效。本题中，命题人采纳了有效的观点，认
为甲、乙之间的忠诚协议有效，现甲出轨了违反了忠诚协议，就需要依约支付赔
偿金。故C选项当选。(题外话：如果在主观题中考到了忠诚协议，应当将有效
的观点与无效的观点一并答出。)
综上，本题的正确选项为C选项。
第三节 民事权利与义务"
民法真金题1-100,7,single_choice,（2009年司考真题）甲被乙家的狗咬伤，要求乙赔偿医药费，乙认为甲被狗咬与自己无关拒绝赔偿。下列哪一选项是正确的?,A. 甲乙之间的赔偿关系属于民法所调整的人身关系|B. 甲请求乙赔偿的权利属于绝对权|C. 甲请求乙赔偿的权利适用诉讼时效|D. 乙拒绝赔偿是行使抗辩权,C,"【考点】民事法律关系；支配权请求权；债权请求权
①根据法律关系是否直接体现财产内容，法律关系可被分为财产关系与人身
关系。本案中，甲、乙之间的赔偿关系直接体现财产内容，具体表现为到底赔多
少钱。因此，该法律关系属于财产关系而非人身关系。故A选项不当选。
②绝对权是指义务人为除权利人以外一切不特定人的权利。甲因遭受侵害而
向乙主张赔偿的权利，其义务人仅指向乙而不涉及其他人。因此，该权利的义务
人是特定的，其属于相对权。故B选项不当选。
③甲被狗咬伤虽然其支配权(健康权)遭受侵害，但是其主张损害赔偿的权
利属于债权请求权，应当适用诉讼时效。故C选项当选。
④抗辩权是指对抗请求权的权利。乙认为狗咬伤甲与自己无关，其并非对抗
甲的请求权，而是根本上否认甲的请求权。因此，乙主张的并非抗辩权，而是否
认权(狭义的抗辩)。故D选项不当选。
综上，本题的正确选项为C选项。
第二章 自然人
第一节 能力制度"
民法真金题1-100,8,single_choice,（2014年司考真题）欣欣美容医院在为青年女演员欢欢实施隆鼻手术过程中，因未严格消毒导致欢欢面部感染，经治愈后面部仍留下较大疤痕。欢欢因此诉诸法院，要求欣欣医院赔偿医疗费并主张精神损害赔偿。该案受理后不久，欢欢因心脏病急性发作猝死。网络名人洋洋在其博客上杜撰欢欢吸毒过量致死。下列哪一表述是错误的?,A. 欣欣医院构成违约行为和侵权行为|B. 欢欢的继承人可继承欣欣医院对欢欢支付的精神损害赔偿金|C. 洋洋的行为侵犯了欢欢的名誉|D. 欢的母亲可以欢欢的名义对洋洋提起侵权之诉,D,"【考点】死者利益保护；精神损害赔偿
①欣欣医院未能提供合格的医疗服务，其行为构成违约。欣欣医院的医疗行
为给欢欢的身体权、健康权造成损害，构成侵权。本案中，同时构成违约与侵权，
欢欢可以择一主张权利。故A选项表述正确，不当选。
②欣欣美容医院的行为造成欢欢的身体权、健康权受害，给欢欢造成严重的
精神痛苦，欢欢对欣欣美容医院享有精神损害赔偿请求权。此后，欢欢死亡，这
一精神损害赔偿请求权能否被继承呢?按照原来司法解释的规定，精神损害赔偿
请求权原则上不能继承，但是如果死者在生前已经起诉或者侵权人书面承诺给予
赔偿的，则可以继承。本案中，欢欢在生前已经提起诉讼，因此可以继承。故B
选项表述正确，不当选。
③洋洋在其博客上杜撰欢欢吸毒过量致死，属于捏造、传播虚假事实，其行
为构成诽谤，侵犯了死者欢欢的名誉。故C选项表述正确，不当选。
④洋洋的行为侵犯了死者欢欢的人格利益，欢欢的母亲作为欢欢的近亲属有
权提起诉讼。但是，近亲属起诉的应该以自己的名义起诉，而非死者欢欢的名义
起诉。故D选项表述错误，当选。
综上，本题的正确选项为D选项。"
民法真金题1-100,9,single_choice,（2021年法考回忆版）舞蹈家甲在观看少儿舞蹈表演时，惊叹于10岁的乙舞蹈天赋过人，甲提出赠与乙100万元，但只能专门用于舞蹈培训学习，乙当即表示同意，乙的父母知道后均表示反对。关于甲、乙间的赠与，下列表述正确的是?,A. 未成立，因乙的父母不同意|B. 无效，因乙的父母不同意|C. 效力待定，因乙因此负担合同义务|D. 有效，因系使乙纯获利益,D,"【考点】自然人的民事行为能力；法律行为的效力
①《合同编通则解释》第3条的规定，双方当事人就合同的主要条款达成合
意时，合同成立。除非法律强制性规范另有规定、当事人于磋商中另有约定、要
约有明确要求，合同的主要条款仅限于当事人、标的和数量。本题中，甲与乙之
间的约定具备三个要素，因此该合同已经成立。需注意，合同的成立是事实判断，
其对当事人的行为能力并无要求。故A选项不当选。
②10岁的乙已经年满8周岁，其属于限制民事行为能力人，能够单独实施
的行为包含两个类型：(1)纯获利益的法律行为。(2)与其年龄、智力相适应
的合同行为。
③本题中，甲与乙之间的赠与合同如果不附任何义务，那么将其认定为纯获
利益的法律行为没有任何争议，此时该赠与合同有效。但是，问题在于本案中该
赠与合同中为受赠人乙创设了义务，属于附义务的赠与，这是否还属于纯获利益
的法律行为呢?答案是属于。乙因此对甲负担的合同义务，仅系将受赠的10万
元用于约定用途的义务，仅对受赠财产本身施加限制，不会对乙的其他财产造成
不利益，因此，该赠与合同仍属使限制民事行为能力人乙纯获法律利益的法律行
为，所以，乙作为限制民事行为能力人有权单独实施该行为，该赠与合同有效。
故D选项当，B选项、C选项不当选。
综上，本题的正确选项为D选项。"
民法真金题1-100,10,single_choice,（2017年司考真题）肖特有音乐天赋，16岁便不再上学，以演出收入为主要生活来源。肖特成长过程中，多有长辈馈赠：7岁时受赠口琴1个，9岁时受赠钢琴1架，15岁时受赠名贵小提琴1把。对肖特行为能力及其受赠行为效力的判断，根据《民法典》相关规定，下列哪一选项是正确的?,A. 肖特尚不具备完全的民事行为能力|B. 受赠口琴的行为无效，应由其法定代理人代理实施|C. 受赠钢琴的行为无效，因与其当时的年龄智力不相当|D. 受赠小提琴的行为无效，因与其当时的年龄智力不相当,B,"【考点】自然人的民事行为能力；法律行为的效力
①肖特年满16周岁，并且以劳动收入作为主要生活来源，即便其未满18
周岁，仍可被视为完全民事行为能力人。故A选项不当选。
②肖特受赠口琴时仅7岁，未满8周岁属于无民事行为能力人。作为无民事
行为能力人的肖特不能单独实施任何行为，即便是纯获利益的接受赠与，其也不
能单独实施，该行为无效。彼时，肖特一切的行为均应由其法定代理人代为实施。
故B选项当选。
③肖特受赠钢琴时9岁，年满8周岁属于限制民事行为能力人。接受赠与属
于纯获利益的行为，肖特有权单独实施，该行为有效。故C选项不当选。
④肖特受赠小提琴时15岁，年满8周岁属于限制民事行为能力人。接受赠
与属于纯获利益的行为，肖特有权单独实施，该行为有效。故D选项不当选。
综上，本题的正确选项为B选项。
第二节 监护"
